,#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days
,1,BitcoinBTC,"$69,435.45",0.01%,2.20%,2.62%,"$1.37T$1,368,764,222,689","$25,702,830,079370,107 BTC","19,709,496 BTC",
,2,EthereumETH,"$3,690.74",0.12%,2.78%,2.85%,"$442.99B$442,987,994,030","$16,067,202,2764,357,774 ETH","120,147,950 ETH",
,3,TetherUSDT,$0.9997,0.00%,0.04%,0.04%,"$112.42B$112,418,473,031","$70,925,954,05070,947,809,850 USDT","112,453,114,731 USDT",
,4,BNBBNB,$686.65,0.01%,1.95%,15.17%,"$101.28B$101,275,387,211","$2,612,421,9243,806,461 BNB","147,564,537 BNB",
,5,SolanaSOL,$160.16,0.64%,5.76%,4.24%,"$73.77B$73,767,212,853","$3,208,878,33320,034,876 SOL","460,571,214 SOL",
,6,USDCUSDC,$1.00,0.00%,0.01%,0.01%,"$32.19B$32,187,649,948","$5,688,075,1815,687,909,556 USDC","32,186,712,711 USDC",
,7,XRPXRP,$0.4933,0.42%,5.77%,5.12%,"$27.38B$27,383,450,229","$2,121,722,5714,300,724,276 XRP","55,506,158,411 XRP",
,8,DogecoinDOGE,$0.1464,0.23%,8.41%,8.52%,"$21.17B$21,173,337,396","$1,693,067,66411,564,538,281 DOGE","144,624,976,384 DOGE",
,9,ToncoinTON,$7.18,0.69%,4.75%,14.29%,"$17.45B$17,448,078,925","$406,193,88756,575,447 TON","2,430,201,165 TON",
,10,CardanoADA,$0.4362,0.43%,8.93%,2.79%,"$15.58B$15,580,315,470","$663,014,1541,519,894,730 ADA","35,716,340,653 ADA",
,,Shiba InuSHIB,$0.00,,,,,,,
,,AvalancheAVAX,$32.46,,,,,,,
,,TRONTRX,$0.11,,,,,,,
,,ChainlinkLINK,$15.93,,,,,,,
,,PolkadotDOT,$6.46,,,,,,,
,,Bitcoin CashBCH,$467.93,,,,,,,
,,NEAR ProtocolNEAR,$6.64,,,,,,,
,,PolygonMATIC,$0.65,,,,,,,
,,UniswapUNI,$9.98,,,,,,,
,,LitecoinLTC,$79.44,,,,,,,
,,UNUS SED LEOLEO,$5.90,,,,,,,
,,DaiDAI,$1.00,,,,,,,
,,PepePEPE,$0.00,,,,,,,
,,Internet ComputerICP,$10.97,,,,,,,
,,Ethereum ClassicETC,$26.79,,,,,,,
,,KaspaKAS,$0.16,,,,,,,
,,AptosAPT,$8.18,,,,,,,
,,RenderRNDR,$9.17,,,,,,,
,,FilecoinFIL,$6.15,,,,,,,
,,StacksSTX,$2.28,,,,,,,
,,First Digital USDFDUSD,$1.00,,,,,,,
,,HederaHBAR,$0.09,,,,,,,
,,MoneroXMR,$166.97,,,,,,,
,,MantleMNT,$0.94,,,,,,,
,,CosmosATOM,$7.81,,,,,,,
,,ImmutableIMX,$2.02,,,,,,,
,,CronosCRO,$0.11,,,,,,,
,,OKBOKB,$47.92,,,,,,,
,,StellarXLM,$0.10,,,,,,,
,,ArbitrumARB,$0.97,,,,,,,
,,dogwifhatWIF,$2.74,,,,,,,
,,SuiSUI,$1.11,,,,,,,
,,InjectiveINJ,$28.71,,,,,,,
,,FLOKIFLOKI,$0.00,,,,,,,
,,BittensorTAO,$370.17,,,,,,,
,,The GraphGRT,$0.26,,,,,,,
,,ArweaveAR,$37.67,,,,,,,
,,OptimismOP,$2.18,,,,,,,
,,VeChainVET,$0.03,,,,,,,
,,MakerMKR,$2446.74,,,,,,,
,,NotcoinNOT,$0.02,,,,,,,
,,JasmyCoinJASMY,$0.04,,,,,,,
,,FantomFTM,$0.70,,,,,,,
,,Theta NetworkTHETA,$1.92,,,,,,,
,,BonkBONK,$0.00,,,,,,,
,,OndoONDO,$1.31,,,,,,,
,,THORChainRUNE,$5.41,,,,,,,
,,CelestiaTIA,$9.37,,,,,,,
,,Lido DAOLDO,$1.96,,,,,,,
,,Bitget TokenBGB,$1.17,,,,,,,
,,Pyth NetworkPYTH,$0.42,,,,,,,
,,CoreCORE,$1.69,,,,,,,
,,StarknetSTRK,$1.14,,,,,,,
,,Fetch.aiFET,$1.74,,,,,,,
,,SeiSEI,$0.50,,,,,,,
,,AaveAAVE,$93.67,,,,,,,
,,AlgorandALGO,$0.17,,,,,,,
,,JupiterJUP,$0.99,,,,,,,
,,EthenaENA,$0.85,,,,,,,
,,WormholeW,$0.70,,,,,,,
,,FlowFLOW,$0.82,,,,,,,
,,ORDIORDI,$58.51,,,,,,,
,,GalaGALA,$0.04,,,,,,,
,,BeamBEAM,$0.02,,,,,,,
,,FlareFLR,$0.03,,,,,,,
,,Bitcoin SVBSV,$56.43,,,,,,,
,,dYdX (Native)DYDX,$1.87,,,,,,,
,,Axie InfinityAXS,$7.53,,,,,,,
,,BitTorrent [New]BTT,$0.00,,,,,,,
,,ChilizCHZ,$0.12,,,,,,,
,,WorldcoinWLD,$4.29,,,,,,,
,,QuantQNT,$83.29,,,,,,,
,,Akash NetworkAKT,$4.09,,,,,,,
,,KuCoin TokenKCS,$10.21,,,,,,,
,,RoninRON,$2.92,,,,,,,
,,SingularityNETAGIX,$0.74,,,,,,,
,,NeoNEO,$13.46,,,,,,,
,,MultiversXEGLD,$34.97,,,,,,,
,,The SandboxSAND,$0.41,,,,,,,
,,PendlePENDLE,$5.52,,,,,,,
,,MinaMINA,$0.76,,,,,,,
,,GnosisGNO,$325.83,,,,,,,
